=== Terrain.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 0x0000004d 0x1000004d  44   45         ascii   !This program cannot be run in DOS mode.\r\r\n$
   1 0x000000c7 0x100000c7   5    5         ascii   aRich
   2 0x000001e0 0x100001e0   5    6         ascii   .text
   3 0x00000207 0x10000207   7    8         ascii   `.rdata
   4 0x0000022f 0x1000022f   6    7         ascii   @.data
   5 0x00000258 0x10000258   6    7         ascii   .idata
   6 0x00000280 0x10000280   6    7         ascii   .reloc
   7 0x000016a5 0x100016a5   4    4 .text   ascii   `SVW
   8 0x00001885 0x10001885   4    4 .text   ascii   @SVW
   9 0x000018b5 0x100018b5   4    4 .text   ascii   @SVW
  10 0x00001905 0x10001905   4    4 .text   ascii   dSVW
  11 0x00001af5 0x10001af5   5    5 .text   ascii   DSVWQ
  12 0x00001b12 0x10001b12   5    5 .text   ascii   ;E\bt!
  13 0x00001b1b 0x10001b1b   4    5 .text   ascii   \r\f\n\a
  14 0x00001b65 0x10001b65   4    4 .text   ascii   LSVW
  15 0x00001c05 0x10001c05   4    4 .text   ascii   TSVW
  16 0x00001d55 0x10001d55   5    5 .text   ascii   DSVWQ
  17 0x00001d71 0x10001d71   4    5 .text   ascii   M\b;H
  18 0x00001d82 0x10001d82   4    5 .text   ascii   E\f;B
  19 0x00001de5 0x10001de5   5    5 .text   ascii   DSVWQ
  20 0x00001e45 0x10001e45   5    5 .text   ascii   DSVWQ
  21 0x00001e85 0x10001e85   5    5 .text   ascii   DSVWQ
  22 0x00001ed5 0x10001ed5   5    5 .text   ascii   DSVWQ
  23 0x00001f15 0x10001f15   5    5 .text   ascii   DSVWQ
  24 0x00001f65 0x10001f65   5    5 .text   ascii   DSVWQ
  25 0x00001f81 0x10001f81   5    5 .text   ascii   @$_^[
  26 0x00001fa5 0x10001fa5   5    5 .text   ascii   DSVWQ
  27 0x00001fe5 0x10001fe5   5    5 .text   ascii   DSVWQ
  28 0x00002015 0x10002015   4    4 .text   ascii   @SVW
  29 0x00002065 0x10002065   5    5 .text   ascii   tSVWQ
  30 0x00002515 0x10002515   5    5 .text   ascii   DSVWQ
  31 0x00002645 0x10002645   5    5 .text   ascii   DSVWQ
  32 0x00002755 0x10002755   5    5 .text   ascii   HSVWQ
