=== jgld.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 0x0000004d 0x1000004d  44   45         ascii   !This program cannot be run in DOS mode.\r\r\n$
   1 0x000000c0 0x100000c0   4    4         ascii   Rich
   2 0x000001d0 0x100001d0   5    6         ascii   .text
   3 0x000001f7 0x100001f7   7    8         ascii   `.rdata
   4 0x0000021f 0x1000021f   6    7         ascii   @.data
   5 0x00000248 0x10000248   6    7         ascii   .idata
   6 0x00000270 0x10000270   6    7         ascii   .reloc
   7 0x00002655 0x10002655   5    5 .text   ascii   DSVWQ
   8 0x000026c5 0x100026c5   5    5 .text   ascii   DSVWQ
   9 0x00002735 0x10002735   5    5 .text   ascii   XSVWQ
  10 0x000027b5 0x100027b5   5    5 .text   ascii   XSVWQ
  11 0x00002825 0x10002825   5    5 .text   ascii   DSVWQ
  12 0x00002875 0x10002875   5    5 .text   ascii   PSVWQ
  13 0x00002a25 0x10002a25   5    5 .text   ascii   PSVWQ
  14 0x00002bd5 0x10002bd5   5    5 .text   ascii   LSVWQ
  15 0x00002d6d 0x10002d6d   4    5 .text   ascii   M\fQj
  16 0x00002e15 0x10002e15   5    5 .text   ascii   DSVWQ
  17 0x00002ef5 0x10002ef5   5    5 .text   ascii   HSVWQ
  18 0x00002f11 0x10002f11   4    5 .text   ascii   M\b;H
  19 0x00002f29 0x10002f29   4    5 .text   ascii   E\b+B
  20 0x00003055 0x10003055   5    5 .text   ascii   DSVWQ
  21 0x000030b5 0x100030b5   5    5 .text   ascii   DSVWQ
  22 0x00003115 0x10003115   5    5 .text   ascii   DSVWQ
  23 0x00003175 0x10003175   5    5 .text   ascii   DSVWQ
  24 0x000031a4 0x100031a4   4    4 .text   ascii   ?_^[
  25 0x000031d5 0x100031d5   5    5 .text   ascii   DSVWQ
  26 0x00003235 0x10003235   5    5 .text   ascii   DSVWQ
  27 0x00003295 0x10003295   5    5 .text   ascii   DSVWQ
  28 0x000032f5 0x100032f5   5    5 .text   ascii   DSVWQ
  29 0x00003345 0x10003345   5    5 .text   ascii   DSVWQ
  30 0x00003395 0x10003395   5    5 .text   ascii   DSVWQ
  31 0x00003405 0x10003405   5    5 .text   ascii   DSVWQ
  32 0x00003475 0x10003475   5    5 .text   ascii   DSVWQ
  33 0x000034e5 0x100034e5   5    5 .text   ascii   DSVWQ
  34 0x00003535 0x10003535   5    5 .text   ascii   DSVWQ
  35 0x00003583 0x10003583   5    5 .text   ascii   J\b_^[
  36 0x000035b5 0x100035b5   5    5 .text   ascii   DSVWQ
  37 0x00003605 0x10003605   5    5 .text   ascii   DSVWQ
  38 0x00003675 0x10003675   5    5 .text   ascii   DSVWQ
  39 0x000036e5 0x100036e5   5    5 .text   ascii   DSVWQ
  40 0x00003715 0x10003715   5    5 .text   ascii   Q\b_^[
  41 0x00003735 0x10003735   5    5 .text   ascii   DSVWQ
  42 0x00003795 0x10003795   5    5 .text   ascii   TSVWQ
  43 0x000037f5 0x100037f5   5    5 .text   ascii   E\b_^[
  44 0x00003825 0x10003825   5    5 .text   ascii   TSVWQ
  45 0x00003885 0x10003885   5    5 .text   ascii   E\b_^[
  46 0x000038b5 0x100038b5   5    5 .text   ascii   HSVWQ
  47 0x00003935 0x10003935   5    5 .text   ascii   HSVWQ
  48 0x000039b5 0x100039b5   5    5 .text   ascii   TSVWQ
  49 0x00003a0f 0x10003a0f   5    5 .text   ascii   E\b_^[
  50 0x00003a45 0x10003a45   5    5 .text   ascii   HSVWQ
  51 0x00003ab5 0x10003ab5   5    5 .text   ascii   DSVWQ
  52 0x00003b35 0x10003b35   5    5 .text   ascii   TSVWQ
  53 0x00003bf5 0x10003bf5   5    5 .text   ascii   LSVWQ
  54 0x00003c95 0x10003c95   5    5 .text   ascii   DSVWQ
  55 0x00003cf5 0x10003cf5   5    5 .text   ascii   LSVWQ
  56 0x00003d9f 0x10003d9f   5    5 .text   ascii   Y\b_^[
  57 0x00003df5 0x10003df5   5    5 .text   ascii   DSVWQ
