 397 0x000187ed 0x100187ed  14   30 .text   utf16le jjj䖋僸䶋儔喋刐䖋倌䶋儈ⓨ blocks=Basic Latin,CJK Unified Ideographs Extension A,CJK Unified Ideographs,Enclosed Alphanumerics
 910 0x0005f02d 0x1005f02d  14   15 .rdata  ascii   k\r@SandBunker4
 911 0x0005f040 0x1005f040  11   12 .rdata  ascii   SandBunker3
 912 0x0005f050 0x1005f050  11   12 .rdata  ascii   SandBunker2
 913 0x0005f060 0x1005f060  11   12 .rdata  ascii   SandBunker1
 915 0x0005f080 0x1005f080  18   19 .rdata  ascii   WaterShallowDesert
 916 0x0005f098 0x1005f098  11   12 .rdata  ascii   WaterMiddle
 917 0x0005f0a8 0x1005f0a8   9   10 .rdata  ascii   WaterDeep
 920 0x0005f0c8 0x1005f0c8  12   13 .rdata  ascii   WaterShallow
 925 0x0005f100 0x1005f100  13   14 .rdata  ascii   PotSandBunker
 926 0x0005f110 0x1005f110  10   11 .rdata  ascii   GrassySand
 932 0x0005f167 0x1005f167  13   14 .rdata  ascii   =lighting.txt
 933 0x0005f178 0x1005f178  17   18 .rdata  ascii   LinksLighting.txt
 934 0x0005f190 0x1005f190  18   19 .rdata  ascii   DesertLighting.txt
 935 0x0005f1a8 0x1005f1a8  20   21 .rdata  ascii   TropicalLighting.txt
 936 0x0005f1c4 0x1005f1c4  20   21 .rdata  ascii   ParklandLighting.txt
 937 0x0005f1f0 0x1005f1f0   9   10 .rdata  ascii   #SPECULAR
 941 0x0005f25c 0x1005f25c  15   16 .rdata  ascii   /PathCurveX.tga
 942 0x0005f270 0x1005f270  16   17 .rdata  ascii   /PathInsideX.tga
 943 0x0005f284 0x1005f284  13   14 .rdata  ascii   /PathCapX.tga
 944 0x0005f294 0x1005f294  10   11 .rdata  ascii   /PathX.tga
 945 0x0005f2a4 0x1005f2a4  14   15 .rdata  ascii   /PathCurve.tga
 946 0x0005f2b8 0x1005f2b8  15   16 .rdata  ascii   /PathInside.tga
 947 0x0005f2cc 0x1005f2cc  12   13 .rdata  ascii   /PathCap.tga
 948 0x0005f2dc 0x1005f2dc   9   10 .rdata  ascii   /Path.tga
 954 0x0005f320 0x1005f320   8    9 .rdata  ascii   #DIFFUSE
 955 0x0005f330 0x1005f330   8    9 .rdata  ascii   #AMBIENT
 956 0x0005f374 0x1005f374  30   31 .rdata  ascii   iTileType < NUM_TEXTURED_TILES
 957 0x0005f39c 0x1005f39c  40   41 .rdata  ascii   C:\Projects\3DTerrainLowPoly\Terrain.cpp
 958 0x0005f3d0 0x1005f3d0  13   14 .rdata  ascii   pTile != NULL
 961 0x0005f420 0x1005f420  14   15 .rdata  ascii   SHUTDOWN ERROR
 962 0x0005f434 0x1005f434  40   41 .rdata  ascii   Can't Activate The GL Rendering Context.
 963 0x0005f468 0x1005f468  36   37 .rdata  ascii   Can't Create A GL Rendering Context.
 966 0x0005f4e0 0x1005f4e0   5    6 .rdata  ascii   ERROR
 967 0x0005f4e8 0x1005f4e8  11   12 .rdata  ascii      Tile Y: 
 968 0x0005f4f8 0x1005f4f8   9   10 .rdata  ascii   \nTile X: 
 973 0x0005f534 0x1005f534   6    7 .rdata  ascii   Normal
 975 0x0005f554 0x1005f554  49   50 .rdata  ascii   Error: memory allocation: bad memory block type.\n
 998 0x0005f944 0x1005f944  57   58 .rdata  ascii   memory check error at 0x%08X = 0x%02X, should be 0x%02X.\n
1013 0x0005fbb8 0x1005fbb8  39   40 .rdata  ascii   normal block at 0x%08X, %u bytes long.\n
1017 0x0005fc28 0x1005fc28  19   20 .rdata  ascii   #File Error#(%d) : 
1051 0x00060030 0x10060030  42   43 .rdata  ascii   _CrtDbgReport: String too long or IO Error
1068 0x00060294 0x10060294   7    8 .rdata  ascii   _file.c
1090 0x000604b0 0x100604b0  14   15 .rdata  ascii   runtime error 
1091 0x000604c4 0x100604c4  13   14 .rdata  ascii   TLOSS error\r\n
1092 0x000604d4 0x100604d4  12   13 .rdata  ascii   SING error\r\n
