nth      vaddr bind type lib          name                        
------------------------------------------------------------------
  1 0x101133f4 NONE FUNC GLU32.dll    gluBuild2DMipmaps
  2 0x101133f8 NONE FUNC GLU32.dll    gluBuild1DMipmaps
  1 0x101135d4 NONE FUNC OPENGL32.dll glEnableClientState
  2 0x101135d8 NONE FUNC OPENGL32.dll glHint
  3 0x101135dc NONE FUNC OPENGL32.dll glFrontFace
  4 0x101135e0 NONE FUNC OPENGL32.dll glEnable
  5 0x101135e4 NONE FUNC OPENGL32.dll glNormal3fv
  6 0x101135e8 NONE FUNC OPENGL32.dll glVertex3fv
  7 0x101135ec NONE FUNC OPENGL32.dll glTexCoord2fv
  8 0x101135f0 NONE FUNC OPENGL32.dll glArrayElement
  9 0x101135f4 NONE FUNC OPENGL32.dll glTexParameterf
 10 0x101135f8 NONE FUNC OPENGL32.dll glGenTextures
 11 0x101135fc NONE FUNC OPENGL32.dll glTexParameteri
 12 0x10113600 NONE FUNC OPENGL32.dll glTexEnvi
 13 0x10113604 NONE FUNC OPENGL32.dll glTexImage2D
 14 0x10113608 NONE FUNC OPENGL32.dll glVertexPointer
 15 0x1011360c NONE FUNC OPENGL32.dll glNormalPointer
 16 0x10113610 NONE FUNC OPENGL32.dll glViewport
 17 0x10113614 NONE FUNC OPENGL32.dll wglCreateContext
 18 0x10113618 NONE FUNC OPENGL32.dll wglMakeCurrent
 19 0x1011361c NONE FUNC OPENGL32.dll wglDeleteContext
 20 0x10113620 NONE FUNC OPENGL32.dll glScalef
 21 0x10113624 NONE FUNC OPENGL32.dll glBindTexture
 22 0x10113628 NONE FUNC OPENGL32.dll glNormal3f
 23 0x1011362c NONE FUNC OPENGL32.dll glTexCoord2f
 24 0x10113630 NONE FUNC OPENGL32.dll glVertex3f
 25 0x10113634 NONE FUNC OPENGL32.dll glRotated
 26 0x10113638 NONE FUNC OPENGL32.dll glRotatef
 27 0x1011363c NONE FUNC OPENGL32.dll glTranslatef
 28 0x10113640 NONE FUNC OPENGL32.dll glVertex2fv
 29 0x10113644 NONE FUNC OPENGL32.dll glMatrixMode
 30 0x10113648 NONE FUNC OPENGL32.dll glPushMatrix
 31 0x1011364c NONE FUNC OPENGL32.dll glLoadIdentity
 32 0x10113650 NONE FUNC OPENGL32.dll glOrtho
 33 0x10113654 NONE FUNC OPENGL32.dll glBlendFunc
 34 0x10113658 NONE FUNC OPENGL32.dll glLineWidth
 35 0x1011365c NONE FUNC OPENGL32.dll glColor4f
 36 0x10113660 NONE FUNC OPENGL32.dll glBegin
 37 0x10113664 NONE FUNC OPENGL32.dll glVertex2i
