nth      vaddr bind type lib          name                      
----------------------------------------------------------------
  1 0x30033104 NONE FUNC USER32.dll   MessageBoxA
  2 0x30033108 NONE FUNC USER32.dll   RegisterClassA
  3 0x3003310c NONE FUNC USER32.dll   ClientToScreen
  4 0x30033110 NONE FUNC USER32.dll   GetSystemMetrics
  5 0x30033114 NONE FUNC USER32.dll   ReleaseDC
  6 0x30033118 NONE FUNC USER32.dll   GetDC
  7 0x3003311c NONE FUNC USER32.dll   DefWindowProcA
  8 0x30033120 NONE FUNC USER32.dll   EndPaint
  9 0x30033124 NONE FUNC USER32.dll   BeginPaint
 10 0x30033128 NONE FUNC USER32.dll   SetCursor
 11 0x3003312c NONE FUNC USER32.dll   UnregisterClassA
 12 0x30033130 NONE FUNC USER32.dll   DestroyWindow
 13 0x30033134 NONE FUNC USER32.dll   PeekMessageA
 14 0x30033138 NONE FUNC USER32.dll   ShowCursor
 15 0x3003313c NONE FUNC USER32.dll   ScreenToClient
 16 0x30033140 NONE FUNC USER32.dll   GetTopWindow
 17 0x30033144 NONE FUNC USER32.dll   CreateWindowExA
 18 0x30033148 NONE FUNC USER32.dll   GetWindowThreadProcessId
 19 0x3003314c NONE FUNC USER32.dll   GetWindow
 20 0x30033150 NONE FUNC USER32.dll   GetWindowLongA
 21 0x30033154 NONE FUNC USER32.dll   GetClassLongA
 22 0x30033158 NONE FUNC USER32.dll   GetActiveWindow
 23 0x3003315c NONE FUNC USER32.dll   ChangeDisplaySettingsA
 24 0x30033160 NONE FUNC USER32.dll   IsWindowVisible
 25 0x30033164 NONE FUNC USER32.dll   GetWindowRect
 26 0x30033168 NONE FUNC USER32.dll   GetClientRect
 27 0x3003316c NONE FUNC USER32.dll   GetCursorPos
  1 0x30033000 NONE FUNC GDI32.dll    DeleteObject
  2 0x30033004 NONE FUNC GDI32.dll    SetStretchBltMode
  3 0x30033008 NONE FUNC GDI32.dll    StretchBlt
  4 0x3003300c NONE FUNC GDI32.dll    CreateCompatibleBitmap
  5 0x30033010 NONE FUNC GDI32.dll    GetDIBits
  6 0x30033014 NONE FUNC GDI32.dll    GetDeviceCaps
  7 0x30033018 NONE FUNC GDI32.dll    CreateCompatibleDC
  8 0x3003301c NONE FUNC GDI32.dll    CreateDIBSection
  9 0x30033020 NONE FUNC GDI32.dll    DeleteDC
 10 0x30033024 NONE FUNC GDI32.dll    SelectObject
 11 0x30033028 NONE FUNC GDI32.dll    GetPixel
 12 0x3003302c NONE FUNC GDI32.dll    SetPixel
  1 0x30033034 NONE FUNC KERNEL32.dll CreateFileA
  2 0x30033038 NONE FUNC KERNEL32.dll GetStringTypeW
  3 0x3003303c NONE FUNC KERNEL32.dll ReadFile
  4 0x30033040 NONE FUNC KERNEL32.dll GetEnvironmentStrings
  5 0x30033044 NONE FUNC KERNEL32.dll CloseHandle
  6 0x30033048 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
  7 0x3003304c NONE FUNC KERNEL32.dll FreeEnvironmentStringsA
  8 0x30033050 NONE FUNC KERNEL32.dll WideCharToMultiByte
  9 0x30033054 NONE FUNC KERNEL32.dll GetFileType
 10 0x30033058 NONE FUNC KERNEL32.dll GetStdHandle
 11 0x3003305c NONE FUNC KERNEL32.dll GetStartupInfoA
 12 0x30033060 NONE FUNC KERNEL32.dll GetCurrentProcess
 13 0x30033064 NONE FUNC KERNEL32.dll TerminateProcess
