0x004490d0   10 180  -> 130  sym.golf.exe_public:_class_Tile_____thiscall_Terrain::tileAt_int__int
0x00449110    3 35   -> 9    sym.golf.exe_public:_int___thiscall_Terrain::getElevation_class_Tile____int
0x00449130    4 82   -> 17   sym.golf.exe_public:_bool___thiscall_Terrain::getWall_class_Tile____int
0x00449150    9 239  -> 87   sym.golf.exe_public:_int___thiscall_Terrain::getType_class_Tile
0x0044916e    2 17           fcn.0044916e
0x0048152a    2 25   -> 20   fcn.0048152a
0x004885e8    2 24           fcn.004885e8
0x00848000    5 201  -> 89   fcn.00848000
0x00848056   13 179  -> 122  entry0
0x00848109   34 910          fcn.00848109
0x00848497   68 1817         fcn.00848497
0x00848bb0    4 74           fcn.00848bb0
0x00848bfa   10 264          fcn.00848bfa
0x00848d02    6 105          fcn.00848d02
0x00848d6b    1 85           fcn.00848d6b
0x00848dc0    6 123          fcn.00848dc0
0x00848e3b    7 408          fcn.00848e3b
0x00848fd3    1 48           fcn.00848fd3
0x00849003    5 120          fcn.00849003
0x0084907b    1 107          fcn.0084907b
0x008490e6    1 41           fcn.008490e6
0x0084910f    1 41           fcn.0084910f
0x00849138   10 83           fcn.00849138
0x0084918b    1 103          fcn.0084918b
0x008491f2   12 343          fcn.008491f2
0x00849349   14 252          fcn.00849349
0x00849445   14 527          fcn.00849445
0x00849654    4 179          fcn.00849654
0x00849707   30 690          fcn.00849707
0x008499b9  185 1072 -> 1334 fcn.008499b9
0x00849de9   12 544          fcn.00849de9
0x0084a009   21 440          fcn.0084a009
0x0084a1c1   17 778          fcn.0084a1c1
0x0084a4cb    8 464          fcn.0084a4cb
0x0084a69b    6 899          fcn.0084a69b
0x0084aa1e   17 754  -> 763  fcn.0084aa1e
0x0084ad10    4 93           fcn.0084ad10
0x0084ad6d    4 84           fcn.0084ad6d
0x0084adc1    1 108          fcn.0084adc1
0x0084ae2d    1 134          fcn.0084ae2d
0x0084aeb3    1 108          fcn.0084aeb3
0x0084af1f    1 106          fcn.0084af1f
0x0084af89    1 131          fcn.0084af89
0x0084b00c    1 106          fcn.0084b00c
0x0084b076    1 134          fcn.0084b076
0x0084b0fc    1 134          fcn.0084b0fc
0x0084b182    1 108          fcn.0084b182
0x0084b1ee    1 132          fcn.0084b1ee
0x0084b272    3 222          fcn.0084b272
0x0084b350    4 447          fcn.0084b350
0x0084b50f    1 7            fcn.0084b50f
0x0084b516    1 22           fcn.0084b516
0x0084b52c    5 66           fcn.0084b52c
0x0084b56e   10 194          fcn.0084b56e
0x0084b630    9 90           fcn.0084b630
0x0084b68a   10 78           fcn.0084b68a
0x0084b6d8    7 82           fcn.0084b6d8
0x0084b72a    3 22           fcn.0084b72a
