nth      vaddr bind type lib          name                        
------------------------------------------------------------------
  1 0x100b83e4 NONE FUNC KERNEL32.dll DeleteCriticalSection
  2 0x100b83e8 NONE FUNC KERNEL32.dll OutputDebugStringA
  3 0x100b83ec NONE FUNC KERNEL32.dll CreateEventA
  4 0x100b83f0 NONE FUNC KERNEL32.dll InitializeCriticalSection
  5 0x100b83f4 NONE FUNC KERNEL32.dll EnterCriticalSection
  6 0x100b83f8 NONE FUNC KERNEL32.dll CloseHandle
  7 0x100b83fc NONE FUNC KERNEL32.dll SetEvent
  8 0x100b8400 NONE FUNC KERNEL32.dll SetThreadPriority
  9 0x100b8404 NONE FUNC KERNEL32.dll ResetEvent
 10 0x100b8408 NONE FUNC KERNEL32.dll GetCurrentThreadId
 11 0x100b840c NONE FUNC KERNEL32.dll Sleep
 12 0x100b8410 NONE FUNC KERNEL32.dll TlsSetValue
 13 0x100b8414 NONE FUNC KERNEL32.dll SetLastError
 14 0x100b8418 NONE FUNC KERNEL32.dll WideCharToMultiByte
 15 0x100b841c NONE FUNC KERNEL32.dll GetFileType
 16 0x100b8420 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
 17 0x100b8424 NONE FUNC KERNEL32.dll SetHandleCount
 18 0x100b8428 NONE FUNC KERNEL32.dll FatalAppExitA
 19 0x100b842c NONE FUNC KERNEL32.dll GetStdHandle
 20 0x100b8430 NONE FUNC KERNEL32.dll VirtualAlloc
 21 0x100b8434 NONE FUNC KERNEL32.dll VirtualFree
 22 0x100b8438 NONE FUNC KERNEL32.dll SetEnvironmentVariableA
 23 0x100b843c NONE FUNC KERNEL32.dll CompareStringW
 24 0x100b8440 NONE FUNC KERNEL32.dll CompareStringA
 25 0x100b8444 NONE FUNC KERNEL32.dll GetLocaleInfoW
 26 0x100b8448 NONE FUNC KERNEL32.dll GetTimeZoneInformation
 27 0x100b844c NONE FUNC KERNEL32.dll GetUserDefaultLCID
 28 0x100b8450 NONE FUNC KERNEL32.dll EnumSystemLocalesA
 29 0x100b8454 NONE FUNC KERNEL32.dll GetLocaleInfoA
 30 0x100b8458 NONE FUNC KERNEL32.dll IsValidCodePage
 31 0x100b845c NONE FUNC KERNEL32.dll IsValidLocale
 32 0x100b8460 NONE FUNC KERNEL32.dll LCMapStringW
 33 0x100b8464 NONE FUNC KERNEL32.dll LCMapStringA
 34 0x100b8468 NONE FUNC KERNEL32.dll GetStringTypeW
 35 0x100b846c NONE FUNC KERNEL32.dll GetStringTypeA
 36 0x100b8470 NONE FUNC KERNEL32.dll MultiByteToWideChar
 37 0x100b8474 NONE FUNC KERNEL32.dll SetConsoleCtrlHandler
 38 0x100b8478 NONE FUNC KERNEL32.dll SetStdHandle
 39 0x100b847c NONE FUNC KERNEL32.dll LoadLibraryA
 40 0x100b8480 NONE FUNC KERNEL32.dll GetOEMCP
 41 0x100b8484 NONE FUNC KERNEL32.dll GetACP
 42 0x100b8488 NONE FUNC KERNEL32.dll GetCPInfo
 43 0x100b848c NONE FUNC KERNEL32.dll SetFilePointer
 44 0x100b8490 NONE FUNC KERNEL32.dll InterlockedIncrement
 45 0x100b8494 NONE FUNC KERNEL32.dll InterlockedDecrement
 46 0x100b8498 NONE FUNC KERNEL32.dll IsBadCodePtr
 47 0x100b849c NONE FUNC KERNEL32.dll IsBadReadPtr
 48 0x100b84a0 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
 49 0x100b84a4 NONE FUNC KERNEL32.dll FlushFileBuffers
 50 0x100b84a8 NONE FUNC KERNEL32.dll RaiseException
 51 0x100b84ac NONE FUNC KERNEL32.dll WriteFile
 52 0x100b84b0 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
 53 0x100b84b4 NONE FUNC KERNEL32.dll GetEnvironmentStrings
 54 0x100b84b8 NONE FUNC KERNEL32.dll TlsFree
 55 0x100b84bc NONE FUNC KERNEL32.dll IsBadWritePtr
 56 0x100b84c0 NONE FUNC KERNEL32.dll FreeEnvironmentStringsA
 57 0x100b84c4 NONE FUNC KERNEL32.dll GetStartupInfoA
 58 0x100b84c8 NONE FUNC KERNEL32.dll TlsGetValue
 59 0x100b84cc NONE FUNC KERNEL32.dll HeapDestroy
 60 0x100b84d0 NONE FUNC KERNEL32.dll RtlUnwind
 61 0x100b84d4 NONE FUNC KERNEL32.dll GetLastError
 62 0x100b84d8 NONE FUNC KERNEL32.dll ResumeThread
 63 0x100b84dc NONE FUNC KERNEL32.dll CreateThread
 64 0x100b84e0 NONE FUNC KERNEL32.dll LeaveCriticalSection
 65 0x100b84e4 NONE FUNC KERNEL32.dll ExitThread
 66 0x100b84e8 NONE FUNC KERNEL32.dll HeapAlloc
 67 0x100b84ec NONE FUNC KERNEL32.dll HeapFree
 68 0x100b84f0 NONE FUNC KERNEL32.dll GetCommandLineA
 69 0x100b84f4 NONE FUNC KERNEL32.dll GetVersion
 70 0x100b84f8 NONE FUNC KERNEL32.dll TlsAlloc
 71 0x100b84fc NONE FUNC KERNEL32.dll TerminateProcess
 72 0x100b8500 NONE FUNC KERNEL32.dll GetVersionExA
